消防栓编号,施工地址或工程编号,工程编号,安装日期,所属公司,消防栓口径,样式,本点号,地面高程,横坐标,纵坐标,管理单位,所属区县,录入人员,录入时间,目前状况,备注,设备类别,关键字,设备类型,埋设深度,管顶高程,材质,所在道路
339, ,,,,100,,J69263263272,2.768,509850.876,2546952.933,,禅城区,,,, ,XHS,5731418,消防栓,0,2.768, ,同济西路佛山大道路口北侧                                    
340, ,,,,100,,J69263263277,3.309,509744.33,2546952.625,,禅城区,,,, ,XHS,5731419,消防栓,0,3.309, ,佛山大道石紫综合市场南侧路口                                
341, ,,,,100,,J69163263282,3.984,509722.429,2546807.249,,禅城区,,,, ,XHS,5731420,消防栓,0,3.984, ,佛山大道南327之一中国建设银行侧                             
358, ,,,,100,,J68063263942,1.99,509786.708,2544723.044,,禅城区,,,, ,XHS,5731421,消防栓,0,1.99, ,佛山大道番村碑坊对面                                        
359, ,,,,100,,J68063263956,1.968,509789.511,2544573.797,,禅城区,,,, ,XHS,5731422,消防栓,0,1.968, ,佛山大道鲤鱼门海鲜洒家东南侧路口                            
361, ,,,,100,,J67863263976,2.18,509790.412,2544306.287,,禅城区,,,, ,XHS,5731424,消防栓,0,2.18, ,                                                            
362, ,,,,100,,J67663264007,2.859,509741.123,2543898.385,,禅城区,,,, ,XHS,5731425,消防栓,0,2.859, ,                                                            
363, ,,,,100,,J67563264018,1.312,509690.748,2543688.872,,禅城区,,,, ,XHS,5731426,消防栓,0,1.312, ,                                                            
364, ,,,,100,,J67963264026,2.126,509848.567,2544441.395,,禅城区,,,, ,XHS,5731427,消防栓,0,2.126, ,                                                            
365, ,,,,100,,J6946356404,2.956,510522.195,2547367.376,,禅城区,,,, ,XHS,5731428,消防栓,0.5,2.456, ,体育路38号东侧                                              
367, ,,,,100,,J68463264143,2.085,509709.482,2545341.061,,禅城区,,,, ,XHS,5731429,消防栓,0,2.085, ,佛山大道佛山商厦南侧                                        
368, ,,,,100,,J69863264202,3.005,509837.471,2548324.822,,禅城区,,,, ,XHS,5731430,消防栓,0,3.005, ,人民西路佛山服装厂大门西侧                                  
369, ,,,,100,,J6936356439,2.428,510608.543,2547294.095,,禅城区,,,, ,XHS,5731431,消防栓,0.6,1.828, ,乐园北街3号门口对面                                         
370, ,,,,100,,J69863264434,3.185,509751.19,2548155.199,,禅城区,,,, ,XHS,5731432,消防栓,0,3.185, ,佛山达到旅游大厦大门北侧                                    
371, ,,,,100,,J6936356513,2.333,510507.418,2547293.436,,禅城区,,,, ,XHS,5731433,消防栓,0.7,1.633, ,乐园北街8号北侧                                             
372, ,,,,100,,J6956366548,2.478,510651.742,2547551.663,,禅城区,,,, ,XHS,5731434,消防栓,0.6,1.878, ,祖庙路佛山长线招待所东南侧                                  
373, ,,,,100,,J6946356573,3.348,510618.247,2547496.512,,禅城区,,,, ,XHS,5731435,消防栓,0.85,2.498, ,卫国路市消费者委员会门口侧                                  
374, ,,,,100,,J6946366580,3.36,510784.935,2547496.328,,禅城区,,,, ,XHS,5731436,消防栓,1.1,2.26, ,卫国路120号对面                                             
633, ,,,,100,,J701632A1130,2.714,509837.019,2548869.703,,禅城区,,,, ,XHS,5731715,消防栓,0,2.714, ,丝绸大街福监门酒家南侧                                      
635, ,,,,100,,J701632A1146,2.476,509786.339,2548903.052,,禅城区,,,, ,XHS,5731717,消防栓,0,2.476, ,佛山大道北佛山大道加油站西北侧                              
636, ,,,,100,,J701636A11692,3.964,510846.119,2548815.211,,禅城区,,,, ,XHS,5731718,消防栓,0,3.964, ,莲花路236号1梯口                                            
637, ,,,,100,,J700636A11750,3.734,510651.902,2548735.607,,禅城区,,,, ,XHS,5731719,消防栓,0,3.734, ,已废                                                        
638, ,,,,100,,J700636A11766,3.382,510643.965,2548713.337,,禅城区,,,, ,XHS,5731720,消防栓,0,3.382, ,亲仁路7号对面                                               
639, ,,,,100,,J700636A11812,3.486,510706.622,2548727.42,,禅城区,,,, ,XHS,5731721,消防栓,0,3.486, ,亲仁路广东省六建工程公司门口西侧                            
577, ,,,,100,,J699639816,5.26,511418.694,2548395,,禅城区,,,, ,XHS,5731722,消防栓,0,5.26, ,福贤路福升大厦南门口                                        
580, ,,,,50,,J70063982732,2.691,511558.747,2548697.062,,禅城区,,,, ,XHS,5731724,消防栓,0,2.691, ,建红街65号东北侧                                            
581, ,,,,100,,J6996398296,4.428,511480.341,2548370.1,,禅城区,,,, ,XHS,5731725,消防栓,0,4.428, ,燎原路5巷26号门口                                           
582, ,,,,50,,J70063982984,2.814,511608.608,2548573.938,,禅城区,,,, ,XHS,5731726,消防栓,0,2.814, ,聚德里1号门口                                               
583, ,,,,100,,J70063983102,4.887,511473.676,2548630.495,,禅城区,,,, ,XHS,5731727,消防栓,0,4.887, ,福禄路银花总汇东北侧                                        
584, ,,,,100,,J70063983111,5.312,511422.544,2548644.132,,禅城区,,,, ,XHS,5731728,消防栓,0,5.312, ,福禄路银花总汇西北侧                                        
585, ,,,,100,,J70063983118,3.972,511514.361,2548589.579,,禅城区,,,, ,XHS,5731729,消防栓,0,3.972, ,惺台公40号东南侧                                            
586, ,,,,100,,J70063983187,5.094,511459.645,2548582.747,,禅城区,,,, ,XHS,5731730,消防栓,0,5.094, ,福禄路银花总汇东南侧                                        
587, ,,,,100,,J70063983202,5.474,511410.165,2548597.13,,禅城区,,,, ,XHS,5731731,消防栓,0,5.474, ,福禄路银花总汇碑下                                          
589, ,,,,40,,J70164083322,3.388,511651.17,2548800.166,,禅城区,,,, ,XHS,5731733,消防栓,0,3.388, ,建红街6座东侧                                               
590, ,,,,50,,J70164083589,2.555,511682.807,2548872.326,,禅城区,,,, ,XHS,5731734,消防栓,0,2.555, ,和平里25号东侧                                              
375, ,,,,100,,J6946366624,2.842,510695.448,2547465.732,,禅城区,,,, ,XHS,5731437,消防栓,0.95,1.892, ,卫国路体育路路口行人线侧                                    
376, ,,,,100,,J693636666,2.2,510686.045,2547171.597,,禅城区,,,, ,XHS,5731438,消防栓,0.5,1.7, ,体育路15号门口                                              
377, ,,,,100,,J6956366686,2.551,510679.08,2547570.767,,禅城区,,,, ,XHS,5731439,消防栓,0.6,1.951, ,祖庙53号西侧                                                
378, ,,,,100,,J6936366736,2.582,510865.76,2547315.246,,禅城区,,,, ,XHS,5731440,消防栓,0.35,2.232, ,体育一街16号门口                                            
379, ,,,,100,,J6936366785,2.987,510848.566,2547265.06,,禅城区,,,, ,XHS,5731441,消防栓,0,2.987, ,体育一街15号之一                                            
380, ,,,,100,,J6936366793,2.359,510861.386,2547234.764,,禅城区,,,, ,XHS,5731442,消防栓,0,2.359, ,永红五坊55号南侧                                            
381, ,,,,100,,J690637B21028,3.037,510900.659,2546701.136,,禅城区,,,, ,XHS,5731443,消防栓,0,3.037, ,同华东一路荣山中学门口东侧                                  
382, ,,,,100,,J690637B21106,2.942,511098.08,2546702.138,,禅城区,,,, ,XHS,5731444,消防栓,0,2.942, ,同华东一路华新大厦北侧                                      
385, ,,,,100,,J689637B21383,3.032,510985.426,2546389.154,,禅城区,,,, ,XHS,5731446,消防栓,0,3.032, ,同华东四街4号东侧                                           
386, ,,,,100,,J689637B21451,3.118,510945.139,2546460.372,,禅城区,,,, ,XHS,5731447,消防栓,0,3.118, ,同华东二路同济医院东侧                                      
387, ,,,,100,,J689637B21484,3.259,510896.665,2546405.658,,禅城区,,,, ,XHS,5731448,消防栓,0,3.259, ,同华东四街2号之6西南侧                                      
388, ,,,,100,,J689636B21548,3.089,510825.533,2546373.343,,禅城区,,,, ,XHS,5731449,消防栓,0,3.089, ,同华路14号1座东北侧                                         
404, ,,,,100,,J690635B22531,3.013,510457.642,2546578.753,,禅城区,,,, ,XHS,5731450,消防栓,0,3.013, ,汾江中路中信实业银行对面                                    
405, ,,,,100,,J690635B22537,2.777,510456.905,2546653.793,,禅城区,,,, ,XHS,5731451,消防栓,0,2.777, ,汾江中路市轻工业品进出口公司对面                            
406, ,,,,100,,J690635B22573,2.819,510534.136,2546737.84,,禅城区,,,, ,XHS,5731452,消防栓,0,2.819, ,同华横街工商银行对面市干部学校路口                          
407, ,,,,100,,J689635B22654,3.309,510425.614,2546477.451,,禅城区,,,, ,XHS,5731453,消防栓,0,3.309, ,汾江中路市司法局东南侧                                      
408, ,,,,100,,J689635B22670,3.322,510420.703,2546415.52,,禅城区,,,, ,XHS,5731454,消防栓,0,3.322, ,汾江中路司法局东南侧                                        
591, ,,,,50,,J70164083819,2.704,511833.852,2548772.005,,禅城区,,,, ,XHS,5731735,消防栓,0,2.704, ,同安大街35号对面                                            
592, ,,,,50,,J70164083897,3.269,511796.665,2548824.833,,禅城区,,,, ,XHS,5731736,消防栓,0,3.269, ,汾左街永安公园门口对面                                      
719, ,,,,100,,J692630B43406,4.568,509239.154,2546932.729,,禅城区,,,, ,XHS,5731737,消防栓,0,4.568, ,                                                            
720, ,,,,100,,J692630B43614,4.385,509266.931,2547039.355,,禅城区,,,, ,XHS,5731738,消防栓,0,4.385, ,                                                            
722, ,,,,100,,J692631B44158,4.226,509421.234,2546971.344,,禅城区,,,, ,XHS,5731740,消防栓,0,4.226, ,江弯路弼塘东二街7号门口                                     
723, ,,,,100,,J692631B44210,3.652,509603.256,2547121.737,,禅城区,,,, ,XHS,5731741,消防栓,0,3.652, ,江弯一路南华模具标准件总汇门口                              
724, ,,,,100,,J692630B44291,3.987,509317.048,2546972.684,,禅城区,,,, ,XHS,5731742,消防栓,0,3.987, ,                                                            
725, ,,,,100,,J691631B44374,4.471,509431.809,2546810.287,,禅城区,,,, ,XHS,5731743,消防栓,0,4.471, ,弼塘东二街6号门口                                           
726, ,,,,100,,J691631B444A03,3.958,509561.737,2546751.666,,禅城区,,,, ,XHS,5731744,消防栓,0,3.958, ,                                                            
727, ,,,,100,,J691631B44425,3.675,509564.093,2546888.152,,禅城区,,,, ,XHS,5731745,消防栓,0,3.675, ,外贸新村5号门口侧                                           
728, ,,,,100,,J691631B44547,3.677,509558.014,2546799.085,,禅城区,,,, ,XHS,5731746,消防栓,0,3.677, ,外貌新村21号门口                                            
729, ,,,,100,,J699640333A36,3.658,511851.063,2548356.94,,禅城区,,,, ,XHS,5731747,消防栓,0,3.658, ,                                                            
731, ,,,,100,,J7046341068,4.596,510323.009,2549532.048,,禅城区,,,, ,XHS,5731749,消防栓,1,3.596, ,                                                            
732, ,,,,100,,J68363111124,4.166,509553.494,2545317.246,,禅城区,,,, ,XHS,5731750,消防栓,0,4.166, ,                                                            
734, ,,,,100,,J69564011550,3.928,511722.371,2547706.237,,禅城区,,,, ,XHS,5731751,消防栓,0,3.928, ,                                                            
735, ,,,,100,,J696611101,4.777,504563.288,2547704.121,,禅城区,,,, ,XHS,5731752,消防栓,0,4.777, ,石湾区张槎一路莲大中路长石街公厕旁                          
736, ,,,,100,,J6946111023,3.954,504596.419,2547468.622,,禅城区,,,, ,XHS,5731753,消防栓,0,3.954, ,石湾区莲大中路大富商场对面                                  
737, ,,,,100,,J6936111043,3.149,504615.644,2547231.53,,禅城区,,,, ,XHS,5731754,消防栓,0,3.149, ,石湾区莲大路12号门口侧                                      
84, ,,2005/9/29,,100,,J70164431382,3.463,512672.941,2548824.028,,禅城区,,,, ,XHS,5731154,消防栓,0,3.463, ,佛平路东升大街                                              
85, ,,,,100,,J70164131561,3.147,512057.378,2548802.044,,禅城区,,,, ,XHS,5731155,消防栓,0,3.147, ,市东上路6号南侧草地内                                       
2, ,,,,100,,J69164311311,3.342,512437.075,2546948.093,,禅城区,,,, ,XHS,5731156,消防栓,0,3.342, ,忠义路栅下东林院工业区牌坊底                                
